Date,AAPL,GLD,HYG,JPM,META,NVDA,QQQ,SPY,TLT,TSLA,UUP,XLE
2010-01-04,6.424605369567871,109.80000305175781,36.12189865112305,28.690946578979492,,0.42385414242744446,40.440391540527344,85.51565551757812,57.81293487548828,,19.801313400268555,35.35769271850586
2010-01-05,6.435712814331055,109.69999694824219,36.29323959350586,29.246694564819336,,0.43004369735717773,40.440391540527344,85.74200439453125,58.186241149902344,,19.79267120361328,35.646270751953125
2010-01-06,6.333343029022217,111.51000213623047,36.38710021972656,29.40739631652832,,0.4327944219112396,40.19646453857422,85.8023681640625,57.40737533569336,,19.74083709716797,36.073143005371094
2010-01-07,6.321635723114014,110.81999969482422,36.53398132324219,29.989919662475586,,0.42431268095970154,40.22258758544922,86.16455841064453,57.503936767578125,,19.87042808532715,36.0190315246582
2010-01-08,6.363664150238037,111.37000274658203,36.59111785888672,29.91626739501953,,0.42522963881492615,40.553653717041016,86.45130920410156,57.478179931640625,,19.73219871520996,36.25349807739258
2010-01-11,6.307527542114258,112.8499984741211,36.558475494384766,29.815832138061523,,0.41926953196525574,40.38812255859375,86.57203674316406,57.16275405883789,,19.628522872924805,36.20539474487305
2010-01-12,6.235776424407959,110.48999786376953,36.37077713012695,29.119468688964844,,0.40505704283714294,39.88283157348633,85.7646484375,58.141197204589844,,19.628522872924805,35.68233108520508
2010-01-13,6.323737621307373,111.54000091552734,36.4523811340332,29.628353118896484,,0.4105586111545563,40.379398345947266,86.48902130126953,57.46531295776367,,19.611248016357422,35.814598083496094
2010-01-14,6.287112236022949,112.02999877929688,36.493167877197266,29.92296600341797,,0.4041401147842407,40.41425704956055,86.72296905517578,58.269920349121094,,19.55940818786621,35.916812896728516
2010-01-15,6.182043552398682,110.86000061035156,36.346290588378906,29.246694564819336,,0.3922199010848999,39.943809509277344,85.74954986572266,58.630401611328125,,19.671720504760742,35.62822341918945
2010-01-19,6.455524444580078,111.5199966430664,36.36262130737305,28.978866577148438,,0.3995553255081177,40.5885009765625,86.82105255126953,58.463111877441406,,19.73219871520996,35.952880859375
2010-01-20,6.356160640716553,108.94000244140625,36.309574127197266,29.05921173095703,,0.3979506492614746,40.00479507446289,85.93819427490234,59.05531311035156,,19.974098205566406,35.39375305175781
2010-01-21,6.246284484863281,107.37000274658203,35.742435455322266,27.144254684448242,,0.39084455370903015,39.630210876464844,84.28568267822266,59.325653076171875,,19.974098205566406,34.672298431396484
2010-01-22,5.936478614807129,107.16999816894531,35.40375900268555,26.220252990722656,,0.3773196339607239,38.471527099609375,82.40678405761719,59.222652435302734,,19.939538955688477,33.84861373901367
2010-01-25,6.096183776855469,107.4800033569336,35.45682144165039,26.253721237182617,,0.383738249540329,38.60219955444336,82.8293228149414,58.95234680175781,,19.91362190246582,34.07107162475586
2010-01-26,6.182342529296875,107.55999755859375,35.501705169677734,25.738155364990234,,0.37158873677253723,38.63703536987305,82.4822769165039,58.971622467041016,,20.000015258789062,33.85464096069336
2010-01-27,6.240581035614014,106.52999877929688,35.51394271850586,26.334081649780273,,0.38167500495910645,38.94196701049805,82.8746337890625,58.93940734863281,,20.069128036499023,33.72236633300781
2010-01-28,5.982708930969238,106.4800033569336,35.362998962402344,26.434520721435547,,0.3688378632068634,37.940101623535156,81.92388153076172,58.90724563598633,,20.103687286376953,33.367652893066406
2010-01-29,5.765665054321289,105.95999908447266,35.183441162109375,26.07295036315918,,0.3527916371822357,37.27798080444336,81.0334701538086,59.42219161987305,,20.25919532775879,32.76643753051758
2010-02-01,5.8458170890808105,108.3499984741211,35.35328674316406,26.534950256347656,,0.3798412084579468,37.68745803833008,82.29356384277344,58.88282012939453,,20.17280387878418,33.84861373901367
2010-02-02,5.879739284515381,109.12999725341797,35.46016311645508,27.150964736938477,,0.383738249540329,38.0272216796875,83.28964233398438,59.05078125,,20.103687286376953,34.29352569580078
2010-02-03,5.980907440185547,108.69999694824219,35.641056060791016,26.976856231689453,,0.38694751262664795,38.23630142211914,82.8746337890625,58.36598205566406,,20.21599769592285,33.99892044067383
2010-02-04,5.765362739562988,104.37000274658203,35.135337829589844,25.67789077758789,,0.36448246240615845,37.12990188598633,80.31664276123047,59.289794921875,,20.34558868408203,32.60411071777344
2010-02-05,5.867730140686035,104.68000030517578,34.92974853515625,25.64442253112793,,0.37181803584098816,37.443519592285156,80.48262786865234,59.41897964477539,,20.431983947753906,32.61011505126953
2010-02-08,5.827504634857178,104.04000091552734,34.77762222290039,25.2426815032959,,0.3711302876472473,37.17343521118164,79.90161895751953,59.49653244018555,,20.423341751098633,32.30950164794922
2010-02-09,5.889646530151367,105.41000366210938,34.84750747680664,25.704687118530273,,0.3681502640247345,37.556766510009766,80.90522003173828,58.90217971801758,,20.293750762939453,32.98888397216797
2010-02-10,5.8575239181518555,105.12000274658203,34.37875747680664,26.026081085205078,,0.3752564489841461,37.478363037109375,80.7467269897461,58.340206146240234,,20.35422706604004,32.85060119628906
2010-02-11,5.964096546173096,107.12999725341797,34.51857376098633,26.126506805419922,,0.39244911074638367,38.04462814331055,81.59187316894531,58.02363204956055,,20.34558868408203,33.409725189208984
2010-02-12,6.015430927276611,107.04000091552734,34.49800491333008,26.07964324951172,,0.397721529006958,38.12303924560547,81.52392578125,58.26262664794922,,20.414703369140625,33.42176818847656
2010-02-16,6.106090545654297,109.62000274658203,34.83928298950195,26.82955551147461,,0.40505704283714294,38.61091232299805,82.80671691894531,58.37246322631836,,20.241920471191406,34.20936584472656
