,Unnamed: 0,VaR_Hybrid_Final
0,2008-04-11,-0.0269708839295786
1,2008-04-14,-0.0410587077394537
2,2008-04-15,-0.0395194910987687
3,2008-04-16,-0.0378387469351332
4,2008-04-17,-0.0368422883885211
5,2008-04-18,-0.0357497557365651
6,2008-04-21,-0.0347481421071369
7,2008-04-22,-0.033729090652419
8,2008-04-23,-0.0334106045540282
9,2008-04-24,-0.0324424155706341
10,2008-04-25,-0.0313690503663553
11,2008-04-28,-0.0302400029159315
12,2008-04-29,-0.0292292590739632
13,2008-04-30,-0.0282863234284925
14,2008-05-01,-0.0270804750719778
15,2008-05-02,-0.0265294525672438
16,2008-05-05,-0.025584191720888
17,2008-05-06,-0.024712378231998
18,2008-05-07,-0.0240806341362777
19,2008-05-08,-0.0269739382071497
20,2008-05-09,-0.0263364210052097
21,2008-05-12,-0.0260465865207707
22,2008-05-13,-0.0259165133767763
23,2008-05-14,-0.0261005206045363
24,2008-05-15,-0.0256723559424758
25,2008-05-16,-0.0252505328001321
26,2008-05-19,-0.0248992958334385
27,2008-05-20,-0.0248968854131566
28,2008-05-21,-0.0257189873374554
29,2008-05-22,-0.027723893660649
30,2008-05-23,-0.0271893733771236
31,2008-05-27,-0.0275954171939808
32,2008-05-28,-0.0269869408532533
33,2008-05-29,-0.0264553144398498
34,2008-05-30,-0.0260639021952712
35,2008-06-02,-0.0255763780075049
36,2008-06-03,-0.0256715203911012
37,2008-06-04,-0.0259373623206768
38,2008-06-05,-0.025115603168792
39,2008-06-06,-0.0240924404175484
40,2008-06-09,-0.0277903609308724
41,2008-06-10,-0.0273577131917477
42,2008-06-11,-0.0269470961963036
43,2008-06-12,-0.028663739907888
44,2008-06-13,-0.027848778107333
45,2008-06-16,-0.0270995440691683
46,2008-06-17,-0.0264410518803331
47,2008-06-18,-0.025849732330944
48,2008-06-19,-0.0258108107509747
49,2008-06-20,-0.0257848846763103
50,2008-06-23,-0.0270323340927467
51,2008-06-24,-0.0267301247490264
52,2008-06-25,-0.0261660326815132
53,2008-06-26,-0.0258911663455841
54,2008-06-27,-0.0305589424648106
55,2008-06-30,-0.0292155454140011
56,2008-07-01,-0.0282602382827716
57,2008-07-02,-0.0273977621796621
58,2008-07-03,-0.0286832731924471
59,2008-07-07,-0.0343050016662188
60,2008-07-08,-0.0328121343507315
61,2008-07-09,-0.0315076939506552
62,2008-07-10,-0.032754951090305
63,2008-07-11,-0.0314570959948182
64,2008-07-14,-0.031012762739722
65,2008-07-15,-0.0303612338037182
66,2008-07-16,-0.0297129203376633
67,2008-07-17,-0.0290950957024749
68,2008-07-18,-0.0284085904664677
69,2008-07-21,-0.0280878298047768
70,2008-07-22,-0.0273635442931516
71,2008-07-23,-0.0266605720467678
72,2008-07-24,-0.0259331897682038
73,2008-07-25,-0.0291717110925614
74,2008-07-28,-0.0284219541879425
75,2008-07-29,-0.0294816991675335
76,2008-07-30,-0.0288050145564307
77,2008-07-31,-0.0280675543908232
78,2008-08-01,-0.0280939692318657
79,2008-08-04,-0.0279174504012669
80,2008-08-05,-0.0285965183036489
81,2008-08-06,-0.0281247972561728
82,2008-08-07,-0.0274453054700423
83,2008-08-08,-0.027104007162879
84,2008-08-11,-0.0263781118938164
85,2008-08-12,-0.0257487717385707
86,2008-08-13,-0.0258819051387858
87,2008-08-14,-0.0254132971143249
88,2008-08-15,-0.024994686958234
89,2008-08-18,-0.0244739229215613
90,2008-08-19,-0.0244280170994817
91,2008-08-20,-0.0239840078103386
92,2008-08-21,-0.0237015260921843
93,2008-08-22,-0.0233969787387004
94,2008-08-25,-0.0230917038925351
95,2008-08-26,-0.0248951245577593
96,2008-08-27,-0.0244390936616489
97,2008-08-28,-0.0242523676850957
98,2008-08-29,-0.0239607565300909
99,2008-09-02,-0.0256305199378357
100,2008-09-03,-0.0259696193327806
101,2008-09-04,-0.0256243193513379
102,2008-09-05,-0.0281413206533122
103,2008-09-08,-0.0273962494144977
104,2008-09-09,-0.0268944722892064
105,2008-09-10,-0.0314837891951351
106,2008-09-11,-0.0302517966615833
107,2008-09-12,-0.029294356418149
108,2008-09-15,-0.0283472921704257
109,2008-09-16,-0.049066072910774
110,2008-09-17,-0.0465112458515978
111,2008-09-18,-0.0533281043325531
112,2008-09-19,-0.052453769599548
113,2008-09-22,-0.0509607155426544
114,2008-09-23,-0.0548501339621768
115,2008-09-24,-0.0530324469222348
116,2008-09-25,-0.0487107926164353
117,2008-09-26,-0.0455750072892025
118,2008-09-29,-0.0429722757354059
119,2008-09-30,-0.1206216793228686
120,2008-10-01,-0.1135103504852055
121,2008-10-02,-0.104306534448728
122,2008-10-03,-0.111086413882887
123,2008-10-06,-0.1051054418376795
124,2008-10-07,-0.1057181367244855
125,2008-10-08,-0.1179734952393508
126,2008-10-09,-0.1097004081672729
127,2008-10-10,-0.1195083024123689
128,2008-10-13,-0.1109409364797501
129,2008-10-14,-0.110525309513308
130,2008-10-15,-0.1071251995369614
131,2008-10-16,-0.1325274218875438
132,2008-10-17,-0.1257482702754003
133,2008-10-20,-0.119256256543854
134,2008-10-21,-0.1106245784157202
135,2008-10-22,-0.1127303518269281
136,2008-10-23,-0.116591548043799
137,2008-10-24,-0.1096606343579712
138,2008-10-27,-0.1073778456274259
139,2008-10-28,-0.1041850110539437
140,2008-10-29,-0.1057280097351471
141,2008-10-30,-0.0982009306979373
142,2008-10-31,-0.0924518555431259
143,2008-11-03,-0.0848934483535779
144,2008-11-04,-0.0767261177848611
145,2008-11-05,-0.0772399422818571
146,2008-11-06,-0.0925093206656157
