,LR Statistic,P-Value,Failures,Failure Rate,Result @ 5%
HistVaR_99,8.284341262851967,0.003998840878514098,62.0,0.014723343623842318,FAIL
ParamVaR_Norm_99,65.19735646700542,6.661338147750939e-16,104.0,0.02469722156257421,FAIL
ParamVaR_T_99,13.555373154039899,0.0002316273772230426,68.0,0.016148183329375444,FAIL
MCVaR_99,67.04530995753032,2.220446049250313e-16,105.0,0.02493469484682973,FAIL
