Date,Hist,Param,GJR,EVT,Hybrid
2009-04-07,-0.2419742403837802,-0.3195800428013219,-0.18388072825523216,-0.1330242576117476,-0.17547282066808909
2009-04-08,-0.24206775685698054,-0.31957383962713076,-0.18388681504790622,-0.1330242576117476,-0.17547831460732646
2009-04-09,-0.24216127333018092,-0.3194834235805126,-0.18365703099068306,-0.1330242576117476,-0.17527152927961198
2009-04-13,-0.24225478980338128,-0.3194533004609069,-0.18358368139695144,-0.1330242576117476,-0.17520552085265315
2009-04-14,-0.24234830627658163,-0.31927542059007047,-0.18299651861335176,-0.1330242576117476,-0.1746771008610101
2009-04-15,-0.242441822749782,-0.319023337088134,-0.18259196696140412,-0.1330242576117476,-0.174313019576783
2009-04-16,-0.242441822749782,-0.31832618958311737,-0.18219920695528832,-0.1330242576117476,-0.1739594359017972
2009-04-17,-0.242441822749782,-0.31782957463682765,-0.18028725896147763,-0.1330242576117476,-0.17223860540463604
2009-04-20,-0.242441822749782,-0.31737249970702164,-0.17843469911002924,-0.1330242576117476,-0.1705713098341156
2009-04-21,-0.242441822749782,-0.3168037649328364,-0.17744186563004927,-0.1330242576117476,-0.16967777259267053
2009-04-22,-0.242441822749782,-0.31589615167934504,-0.17654656614823033,-0.1330242576117476,-0.16887200572059818
2009-04-23,-0.242441822749782,-0.315351328563845,-0.1756989537314289,-0.1330242576117476,-0.16810905037943183
2009-04-24,-0.242441822749782,-0.31479858913322173,-0.17492782851636515,-0.1330242576117476,-0.1674146851749707
2009-04-27,-0.242441822749782,-0.31432594311360956,-0.17423461954430644,-0.1330242576117476,-0.1667898761580951
2009-04-28,-0.242441822749782,-0.3139202868515923,-0.17318265919691453,-0.1330242576117476,-0.16583913663686609
2009-04-29,-0.242441822749782,-0.31343983577670426,-0.17212989311501461,-0.1330242576117476,-0.16487808923607494
2009-04-30,-0.242441822749782,-0.3128603635826282,-0.17116272757462148,-0.1330242576117476,-0.1639830182844142
2009-05-01,-0.242441822749782,-0.31221558303046654,-0.1702593316767685,-0.1330242576117476,-0.163144538916655
2009-05-04,-0.242441822749782,-0.31154093197365007,-0.16937337646799794,-0.1330242576117476,-0.16232440443716528
2009-05-05,-0.242441822749782,-0.310932548174496,-0.16861601119238737,-0.1330242576117476,-0.1616186814200597
2009-05-06,-0.242441822749782,-0.31034337319111727,-0.1679238906822219,-0.1330242576117476,-0.16097411682379573
2009-05-07,-0.242441822749782,-0.30979858886921013,-0.16732366243694063,-0.1330242576117476,-0.16041521645446555
2009-05-08,-0.242441822749782,-0.3092495014207931,-0.1663680306305224,-0.1330242576117476,-0.15951970063908694
2009-05-11,-0.242441822749782,-0.3086007966985767,-0.16548752729471894,-0.1330242576117476,-0.15869594747721827
2009-05-12,-0.242441822749782,-0.3079064992550055,-0.16471933998697685,-0.1330242576117476,-0.15797336851341098
2009-05-13,-0.242441822749782,-0.30722156616667856,-0.16398963436223393,-0.1330242576117476,-0.1572880950702747
2009-05-14,-0.242441822749782,-0.3065175928352374,-0.16285063242837397,-0.1330242576117476,-0.15620684909807736
2009-05-15,-0.242441822749782,-0.30595877556012013,-0.16180912845448395,-0.1330242576117476,-0.15521909181691906
2009-05-18,-0.242441822749782,-0.30535248288859257,-0.16057124723789817,-0.1330242576117476,-0.15406183439511228
2009-05-19,-0.242441822749782,-0.3048410180341977,-0.15944425582615762,-0.1330242576117476,-0.15300637916375998
2009-05-20,-0.242441822749782,-0.30440335722267486,-0.1579784572384234,-0.1330242576117476,-0.1516534869631218
2009-05-21,-0.242441822749782,-0.3039549643450478,-0.15659981263572978,-0.1330242576117476,-0.15038627665507256
2009-05-22,-0.242441822749782,-0.3034921258366872,-0.15541742227559832,-0.1330242576117476,-0.14929183121069048
2009-05-26,-0.242441822749782,-0.303057311906473,-0.15431172827434683,-0.1330242576117476,-0.14827343014414296
2009-05-27,-0.242441822749782,-0.3025563475715024,-0.153234707602655,-0.1330242576117476,-0.14728228354722325
2009-05-28,-0.242441822749782,-0.30202196654280145,-0.1514515308482372,-0.1330242576117476,-0.14565646665244777
2009-05-29,-0.242441822749782,-0.30148157839459755,-0.14980379028178317,-0.1330242576117476,-0.14415632264995162
2009-06-01,-0.242441822749782,-0.3009909621125517,-0.14826754028282157,-0.1330242576117476,-0.14276182707421017
2009-06-02,-0.242441822749782,-0.29978180584533465,-0.1464379221705106,-0.1330242576117476,-0.14110644680345477
2009-06-03,-0.242441822749782,-0.2985740303989848,-0.14470939568667474,-0.1330242576117476,-0.1395483004078843
2009-06-04,-0.242441822749782,-0.2977114394257477,-0.1431122568784949,-0.1330242576117476,-0.13811072168645305
2009-06-05,-0.242441822749782,-0.2968808445178504,-0.14158833711507798,-0.1330242576117476,-0.13674297908222355
2009-06-08,-0.242441822749782,-0.29608441948480685,-0.14015170556533044,-0.1330242576117476,-0.135458653573221
2009-06-09,-0.242441822749782,-0.29524263903327624,-0.13877192803309407,-0.1330242576117476,-0.13423150451976962
2009-06-10,-0.242441822749782,-0.2943472591921063,-0.13747994778868372,-0.1330242576117476,-0.13308920531494242
2009-06-11,-0.242441822749782,-0.29356991376547353,-0.13617898498386183,-0.1330242576117476,-0.13194577955397846
2009-06-12,-0.242441822749782,-0.29281890099475855,-0.1349408392268904,-0.1330242576117476,-0.13086427471137374
2009-06-15,-0.242441822749782,-0.2919804374625153,-0.1337025939563914,-0.1330242576117476,-0.12979004822961335
2009-06-16,-0.242441822749782,-0.2911467772516703,-0.13262231118033804,-0.1330242576117476,-0.12884335314613976
