Date,Regime 1 (Nervous),Regime 2 (Volatile),Regime 0 (Calm),Regime 3 (Crisis),StressFactor
2007-05-11,8.389385934956215e-20,8.789398513654676e-62,1.0,7.691741640113587e-108,9.226746895651177e-21
2007-05-14,5.289878746153706e-06,1.5605899614318994e-10,0.9999947099635252,3.962713962295308e-34,5.81885020894259e-07
2007-05-15,5.42556464487412e-06,1.3335095668668274e-10,0.9999945743040224,4.021108871034873e-19,5.967936821827593e-07
2007-05-16,4.844888651659081e-06,1.3386356329956313e-10,0.9999951549806657,3.944948025312852e-19,5.329305639620575e-07
2007-05-17,5.224859888775547e-06,1.3613033838253298e-10,0.9999947750029684,3.464217365827722e-19,5.747216757185735e-07
2007-05-18,5.191598895463765e-06,1.3574261983739788e-10,0.9999948082684734,4.047458041496956e-19,5.710633488646824e-07
2007-05-21,4.980325529355435e-06,1.3532771494013458e-10,0.9999950195393801,6.842835814792001e-19,5.478269915011835e-07
2007-05-22,5.153238770219554e-06,2.3360568296550063e-10,0.9999948465252606,3.3915267972715515e-18,5.669058081631488e-07
2007-05-23,8.574260604675778e-06,1.3476878651606563e-09,0.9999914243893999,4.993895379606511e-18,9.438523107916625e-07
2007-05-24,4.391704177767204e-05,1.702954763011619e-09,0.999956081254305,5.500828449621963e-18,4.831116336850813e-06
2007-05-25,1.0319306890354411e-05,2.2453343007840238e-10,0.9999896804679751,7.078379791023007e-18,1.1350704654096212e-06
2007-05-29,6.357806138958039e-06,2.1683428429506425e-10,0.9999936419755828,8.571680949719901e-19,6.993750524849668e-07
2007-05-30,8.991543265529882e-06,2.3953240158408534e-10,0.9999910082155559,6.616152093223367e-19,9.890508384687954e-07
2007-05-31,6.219601742153568e-06,1.5328568774777744e-10,0.9999937802470118,6.236161819678024e-19,6.841353282913313e-07
2007-06-01,6.330877654043049e-06,1.630173571658775e-10,0.9999936689619384,4.559746090786487e-19,6.963796869618372e-07
2007-06-04,6.498842736682075e-06,1.8989764156922014e-10,0.9999935009684308,1.2590003026621239e-18,7.148695390736064e-07
2007-06-05,7.042216907267251e-06,4.4784089536754574e-10,0.9999929573343866,8.010012725143538e-18,7.747921878256964e-07
2007-06-06,1.6152042985071632e-05,3.017641951390912e-09,0.999983844936178,1.442876531347511e-17,1.778312788940056e-06
2007-06-07,8.380169805870437e-05,4.041078160714137e-09,0.999916194259069,2.6281749068158904e-17,9.21914429450904e-06
2007-06-08,1.856810908151226e-05,5.689148557550551e-10,0.9999814313246641,6.508239912514337e-17,2.0424994843800414e-06
2007-06-11,1.5564809289187004e-05,1.2406166497354558e-09,0.9999844339519843,9.400048585122658e-18,1.7126140836690017e-06
2007-06-12,3.7685042332780276e-05,1.782594823679004e-09,0.9999623131778534,8.964461164796039e-18,4.1457635187718285e-06
2007-06-13,1.735661997872396e-05,5.356609037506043e-10,0.9999826428444315,1.4776022509454866e-17,1.909237617840438e-06
2007-06-14,1.0441275340298259e-05,4.5722126658845887e-10,0.9999895582695355,8.095808312995286e-18,1.1486305764941072e-06
2007-06-15,1.5035650227824885e-05,1.1171306414496638e-09,0.9999849632334221,3.2052200685696064e-17,1.6543391227488667e-06
2007-06-18,2.3848487253818164e-05,5.125250569669083e-09,0.999976146384882,2.795957365904883e-16,2.6260982152855222e-06
2007-06-19,0.00015904252572280012,5.422745761630871e-08,0.999840903245761,2.0573343485826424e-15,1.7525682962521442e-05
