,LR Statistic (Ind),P-Value (Ind),Total Failures,Failure Runs,Avg Run Length,Result @ 5%
HistVaR_99,13.296724787496942,0.00026587014911472195,62.0,56.0,1.1071428571428572,FAIL (Clustered)
ParamVaR_Norm_99,19.963427558400667,7.893764338073872e-06,104.0,92.0,1.1304347826086956,FAIL (Clustered)
ParamVaR_T_99,11.314582779694433,0.0007690073850423751,68.0,62.0,1.096774193548387,FAIL (Clustered)
MCVaR_99,19.566663453052456,9.714965201523817e-06,105.0,93.0,1.1290322580645162,FAIL (Clustered)
