,Date,HistVaR_99,ParamVaR_T_99,GJR_GARCH_VaR_99,EVT_VaR_99,VaR_Hybrid_Final
0,2008-04-11,-0.0262850609530902,-0.0275647623795708,-0.025876241512223,-0.0313534098451144,-0.0269708839295786
1,2008-04-14,-0.0262850609530902,-0.0275115168231449,-0.0434841659302942,-0.0313534098451144,-0.0410587077394537
2,2008-04-15,-0.0262850609530902,-0.0275294780816308,-0.0415607483509234,-0.0313534098451144,-0.0395194910987687
3,2008-04-16,-0.0262850609530902,-0.0275885092221918,-0.0394599619455291,-0.0313534098451144,-0.0378387469351332
4,2008-04-17,-0.0262850609530902,-0.0276080770351536,-0.0382144589135679,-0.0313534098451144,-0.0368422883885211
5,2008-04-18,-0.0262850609530902,-0.0274778145461689,-0.036848825139733,-0.0313534098451144,-0.0357497557365651
6,2008-04-21,-0.0262850609530902,-0.0274709622124565,-0.035596821368739,-0.0313534098451144,-0.0347481421071369
7,2008-04-22,-0.0262850609530902,-0.0274077194120088,-0.0343230061308754,-0.0313534098451144,-0.033729090652419
8,2008-04-23,-0.0262850609530902,-0.0273472505179445,-0.0339249067710636,-0.0313534098451144,-0.0334106045540282
9,2008-04-24,-0.0262850609530902,-0.0274315756713044,-0.0327146689241967,-0.0313534098451144,-0.0324424155706341
10,2008-04-25,-0.0262850609530902,-0.0274652523284726,-0.0313729605154254,-0.0313534098451144,-0.0313690503663553
11,2008-04-28,-0.0262850609530902,-0.0274924205464731,-0.0299616500935584,-0.0313534098451144,-0.0302400029159315
12,2008-04-29,-0.0262850609530902,-0.0275128275306394,-0.02869821860673,-0.0313534098451144,-0.0292292590739632
13,2008-04-30,-0.0262850609530902,-0.0275267760177506,-0.0275195377944291,-0.0313534098451144,-0.0282863234284925
14,2008-05-01,-0.0262850609530902,-0.0274233282888524,-0.0260121924916723,-0.0313534098451144,-0.0270804750719778
15,2008-05-02,-0.0262850609530902,-0.0274344333157331,-0.025323320138358,-0.0313534098451144,-0.0265294525672438
16,2008-05-05,-0.0262850609530902,-0.0274346705722511,-0.0241416836234669,-0.0313534098451144,-0.025584191720888
17,2008-05-06,-0.0262850609530902,-0.0273770021489723,-0.0230517468094831,-0.0313534098451144,-0.024712378231998
18,2008-05-07,-0.0262850609530902,-0.0273119583333857,-0.0222619024640961,-0.0313534098451144,-0.0240806341362777
19,2008-05-08,-0.0262850609530902,-0.0272987625260298,-0.0258568709404616,-0.0313534098451144,-0.0269739382071497
20,2008-05-09,-0.0262850609530902,-0.0273607877248215,-0.0249938973540967,-0.0313534098451144,-0.0263364210052097
21,2008-05-12,-0.0262850609530902,-0.0274591187784975,-0.0244207813067018,-0.0313534098451144,-0.0260465865207707
22,2008-05-13,-0.0262850609530902,-0.0274357548707017,-0.0236807709348897,-0.0313534098451144,-0.0259165133767763
23,2008-05-14,-0.0262850609530902,-0.0274387488964738,-0.0235850828541043,-0.0313534098451144,-0.0261005206045363
24,2008-05-15,-0.0262850609530902,-0.0273719316706992,-0.0228584598768985,-0.0313534098451144,-0.0256723559424758
25,2008-05-16,-0.0262850609530902,-0.0273634798685961,-0.0220748860411001,-0.0313534098451144,-0.0252505328001321
26,2008-05-19,-0.0262850609530902,-0.0273845007931475,-0.0215152866693198,-0.0313534098451144,-0.0248992958334385
27,2008-05-20,-0.0262850609530902,-0.0273569942034996,-0.021505247480611,-0.0313534098451144,-0.0248968854131566
28,2008-05-21,-0.0262850609530902,-0.0273110866533493,-0.022755642531896,-0.0313534098451144,-0.0257189873374554
29,2008-05-22,-0.0262850609530902,-0.0273136369994495,-0.025789004633272,-0.0313534098451144,-0.027723893660649
30,2008-05-23,-0.0262850609530902,-0.0273330404864703,-0.0249630805633758,-0.0313534098451144,-0.0271893733771236
31,2008-05-27,-0.0262850609530902,-0.0273603815392268,-0.0255815671921548,-0.0313534098451144,-0.0275954171939808
32,2008-05-28,-0.0262850609530902,-0.0273585118470239,-0.0246468035006109,-0.0313534098451144,-0.0269869408532533
33,2008-05-29,-0.0262850609530902,-0.0274410155400876,-0.0238350206354982,-0.0313534098451144,-0.0264553144398498
34,2008-05-30,-0.0262850609530902,-0.0273803982338202,-0.023251443384775,-0.0313534098451144,-0.0260639021952712
35,2008-06-02,-0.0262850609530902,-0.0273514306274803,-0.0225795496535775,-0.0313534098451144,-0.0255763780075049
36,2008-06-03,-0.0262850609530902,-0.0273532524932735,-0.0228181722136331,-0.0313534098451144,-0.0256715203911012
37,2008-06-04,-0.0262850609530902,-0.0273528008822287,-0.0233442544861059,-0.0313534098451144,-0.0259373623206768
38,2008-06-05,-0.0262850609530902,-0.0272551725282287,-0.0228040143746105,-0.0313534098451144,-0.025115603168792
39,2008-06-06,-0.0262850609530902,-0.0273317505678106,-0.0221500550388598,-0.0313534098451144,-0.0240924404175484
40,2008-06-09,-0.0262850609530902,-0.0273640747902898,-0.0268396287286448,-0.0313534098451144,-0.0277903609308724
41,2008-06-10,-0.0262850609530902,-0.0273515419044412,-0.0262944515169818,-0.0313534098451144,-0.0273577131917477
42,2008-06-11,-0.0262850609530902,-0.0273567555303744,-0.0257788018913011,-0.0313534098451144,-0.0269470961963036
43,2008-06-12,-0.0262850609530902,-0.0274490789911669,-0.0279378317806591,-0.0313534098451144,-0.028663739907888
44,2008-06-13,-0.0262850609530902,-0.0274048122936741,-0.0268909070454518,-0.0313534098451144,-0.027848778107333
45,2008-06-16,-0.0262850609530902,-0.0274801750003341,-0.0259274816647696,-0.0313534098451144,-0.0270995440691683
