Date,HistVaR_95,HistVaR_99,HistES_97.5,ParamVaR_Norm_95,ParamVaR_Norm_99,ParamES_Norm_97.5,ParamVaR_T_95,ParamVaR_T_99,ParamES_T_97.5,MCVaR_95,MCVaR_99,MC_ES_97.5
2008-04-10,-0.018920374488915568,-0.025662141114653744,-0.025539424547360016,-0.01689253555732519,-0.02405171299419869,-0.024172048260397424,-0.016176968464709434,-0.026697877214953356,-0.027714480798428056,-0.01677011845656504,-0.02401199543257347,-0.024137729893503906
2008-04-11,-0.019095337141283097,-0.026285060953090283,-0.02702983996474176,-0.017363383565202395,-0.024655257846674113,-0.024777823552090093,-0.01651557446763042,-0.027564762379570854,-0.028725410074029657,-0.017402501214000637,-0.024602249559698548,-0.02472355772835926
2008-04-14,-0.019095337141283097,-0.026285060953090283,-0.02702983996474176,-0.017394506347618657,-0.024689944809109583,-0.024812570423161043,-0.01657476513436044,-0.027511516823144906,-0.028628655065646526,-0.01733819798734389,-0.02485523195566304,-0.024878611296043966
2008-04-15,-0.019095337141283097,-0.026285060953090283,-0.02702983996474176,-0.01739605236897176,-0.024690115448861488,-0.024812717944766687,-0.016574474450864872,-0.027529478081630848,-0.02865400497738255,-0.01747684973312574,-0.02488621661344516,-0.02496174388236065
2008-04-16,-0.019095337141283097,-0.026285060953090283,-0.02702983996474176,-0.017450666994522857,-0.024803234267645316,-0.024926820133180403,-0.0166847702428653,-0.02758850922219184,-0.028668860020494142,-0.017441460250544206,-0.024701054513931748,-0.02490587961920724
2008-04-17,-0.019095337141283097,-0.026285060953090283,-0.02702983996474176,-0.01746416314322575,-0.02481544833941366,-0.024939012655117,-0.016705693316529945,-0.02760807703515367,-0.02868853050868424,-0.017448507719250255,-0.02469451687835804,-0.024828118910222602
2008-04-18,-0.019095337141283097,-0.026285060953090283,-0.02702983996474176,-0.01746415391181557,-0.024840679973297954,-0.024964668550904436,-0.01673782620961366,-0.02747781454616898,-0.028489290325183856,-0.01740207792683993,-0.02498035102411835,-0.024989834405261785
2008-04-21,-0.019095337141283097,-0.026285060953090283,-0.02702983996474176,-0.017464290805917604,-0.02484156960079463,-0.024965570830744795,-0.01673936515529333,-0.027470962212456543,-0.02847917884502131,-0.01748251524597986,-0.024746813680075305,-0.024930479625035022
2008-04-22,-0.019095337141283097,-0.026285060953090283,-0.02702983996474176,-0.017505584422767204,-0.024889621063550804,-0.02501373588297312,-0.016811846289550347,-0.02740771941200884,-0.028366009776439428,-0.017424180064419658,-0.024761238145911812,-0.025000996771599913
2008-04-23,-0.019095337141283097,-0.026285060953090283,-0.02702983996474176,-0.017500910580470617,-0.024890531093732876,-0.025014739769856895,-0.016814455608396242,-0.027347250517944524,-0.02828175091917775,-0.017333469975846446,-0.02481812160736232,-0.02493228425359343
