Date,EqualWeightPortfolio
2007-04-12,0.005627082452250696
2007-04-13,0.0005869734157101354
2007-04-16,0.0052466336055838085
2007-04-17,-4.6933545679684035e-05
2007-04-18,0.0035960321989427653
2007-04-19,-0.0008256599170165533
2007-04-20,0.007217910930568793
2007-04-23,-0.0008047812594419054
2007-04-24,0.0029120475835945955
2007-04-25,0.009764423740222789
2007-04-26,0.004654179062989043
2007-04-27,0.004848328423567344
2007-04-30,-0.004387368757645592
2007-05-01,0.003262372175607129
2007-05-02,0.0033199913812361134
2007-05-03,0.005224107453431363
2007-05-04,0.0006086808048634884
2007-05-07,0.0023563337792267287
2007-05-08,0.0005828148761312206
2007-05-09,0.002859910765962431
2007-05-10,-0.009321941088349812
2007-05-11,0.012324799938943651
2007-05-14,-0.002731215198005578
2007-05-15,-0.0020469524219030306
2007-05-16,0.004356730997744523
2007-05-17,-0.0014597541128307965
2007-05-18,0.005244631229465404
2007-05-21,0.004612061680039087
2007-05-22,-0.0010277699222619797
2007-05-23,-0.0030712958062764036
2007-05-24,-0.011229430294670968
2007-05-25,0.007068941468882248
2007-05-29,0.002446600122322119
2007-05-30,0.008460567877790912
2007-05-31,0.0016466189973849074
2007-06-01,0.00012391886996765707
2007-06-04,0.004901591868179977
2007-06-05,-0.0002270048664574318
2007-06-06,-0.003669620947673537
2007-06-07,-0.012020586793314561
2007-06-08,0.00608540080358183
2007-06-11,-0.001347924251905392
2007-06-12,-0.0086255884862
2007-06-13,0.009986480110382246
2007-06-14,0.005619078218981923
2007-06-15,0.008861081957364274
2007-06-18,0.0028089947029607694
2007-06-19,0.00462256157779618
2007-06-20,-0.015405914667735764
2007-06-21,0.014860324460793571
2007-06-22,-0.0064437662157007134
2007-06-25,-0.004996596244572874
2007-06-26,-0.009807826331857283
2007-06-27,0.009636804136647668
2007-06-28,-0.0003093187327932189
2007-06-29,-0.0012902714251265995
2007-07-02,0.009354864991361308
2007-07-03,0.0070679474049528505
2007-07-05,0.002162472067362422
2007-07-06,0.0024229668755907756
2007-07-09,0.002867561287703293
2007-07-10,-0.004952535152207696
2007-07-11,0.0015080491096824177
2007-07-12,0.013109849430144213
2007-07-13,0.005260106298414491
2007-07-16,0.002592324548610346
2007-07-17,0.0028836526398569786
2007-07-18,-0.0015929773146669565
2007-07-19,0.00454984440720237
2007-07-20,-0.0032849190533349015
2007-07-23,0.0019399608931279406
2007-07-24,-0.019006705683639314
2007-07-25,0.002080754723215343
2007-07-26,-0.008868593813894626
2007-07-27,-0.010982939667703126
2007-07-30,0.007756780353854093
2007-07-31,-0.011813985643760135
2007-08-01,0.004085758302066703
2007-08-02,0.003357297154140064
2007-08-03,-0.019203664478403337
2007-08-06,0.011456307470751553
2007-08-07,0.006550540377131084
2007-08-08,0.012262707855245409
2007-08-09,-0.021217628209147257
2007-08-10,-0.007552781990594796
2007-08-13,0.001422852478909717
2007-08-14,-0.005290733655905392
2007-08-15,-0.013991456992753615
2007-08-16,-0.0009799620500192034
2007-08-17,0.021895470039724668
2007-08-20,-0.0018611033873676885
2007-08-21,0.00695752613474708
2007-08-22,0.010632343058603512
2007-08-23,-0.0010453126520746376
2007-08-24,0.010909321063684292
2007-08-27,-0.005367082531113058
2007-08-28,-0.021453917318031968
2007-08-29,0.020961662263669512
2007-08-30,0.0003976254893481919
2007-08-31,0.012715891546724934
2007-09-04,0.01353249161490818
2007-09-05,-0.010182347197750468
2007-09-06,0.004477568065657341
2007-09-07,-0.013339350739907203
2007-09-10,0.005966950805109884
2007-09-11,0.009540883668726234
2007-09-12,-0.001405355596252748
2007-09-13,0.0045108989253524545
2007-09-14,-0.0010145402675487986
2007-09-17,-0.001231979832640042
2007-09-18,0.024183296043362414
2007-09-19,-0.0007543320258231855
2007-09-20,-0.006728845929649432
2007-09-21,0.0058661494653337145
2007-09-24,0.004239551924546219
2007-09-25,0.004202734279499853
2007-09-26,0.0027080200182619204
2007-09-27,0.004525206757643245
2007-09-28,-0.0034003856910780864
2007-10-01,0.013540884878103452
2007-10-02,-0.0012954515563395285
2007-10-03,-0.007549915460550009
2007-10-04,0.003276767425352983
2007-10-05,0.008660039509834077
2007-10-08,0.002848063423436936
2007-10-09,0.0035232445208977343
2007-10-10,-0.0004890977234446849
2007-10-11,-0.009271922059753883
2007-10-12,0.007315615396572499
2007-10-15,-0.0010533578120833773
2007-10-16,-0.0004563975644346823
2007-10-17,0.012468540965466644
2007-10-18,0.0014936724873638107
2007-10-19,-0.01993547536164466
2007-10-22,0.006836591671947897
2007-10-23,0.012943232208402078
2007-10-24,-0.0013932187630560629
2007-10-25,-0.007547264593640669
2007-10-26,0.01548395041991388
2007-10-29,-0.001786152790621883
2007-10-30,0.0017145408191315513
2007-10-31,0.012649210112702952
2007-11-01,-0.013065317397950653
2007-11-02,0.004637702874334258
2007-11-05,-0.004089553506995978
2007-11-06,0.013131126871328407
2007-11-07,-0.021883920936104598
2007-11-08,-0.014473502203480407
2007-11-09,-0.015070996106681375
2007-11-12,-0.025555418893455265
2007-11-13,0.034135746095274595
2007-11-14,-0.004639981767246926
2007-11-15,-0.01297901569781182
2007-11-16,0.006489433130702861
2007-11-19,-0.015620841823974116
2007-11-20,0.0077498891833416815
2007-11-21,-0.011970983975057622
2007-11-23,0.013454167030275093
2007-11-26,-0.013497055752208107
2007-11-27,0.01047820331511655
2007-11-28,0.021936837085607442
2007-11-29,0.002506938181770317
2007-11-30,-0.0009971962592464077
2007-12-03,-0.004401981402388376
2007-12-04,-0.005228797828173672
2007-12-05,0.015610744254480918
