,LR Statistic (Ind),P-Value (Ind),Total Failures,Failure Runs,Avg Run Length,Result @ 5%
GARCH11_VaR_99,0.3975506418466921,0.5283569260624765,73.0,71.0,1.028169014084507,PASS (Independent)
GJR_GARCH_VaR_99,0.07003406576018278,0.7912871868818141,74.0,73.0,1.0136986301369864,PASS (Independent)
Copula_VaR_99,9.42520314780154,0.0021402338760792006,119.0,109.0,1.091743119266055,FAIL (Clustered)
EVT_VaR_99,8.85434131793835,0.00292392613853798,36.0,33.0,1.0909090909090908,FAIL (Clustered)
